new_pos=(0, 0), new_pos_sym='\\', direction=1
new_pos=(1, 0), new_pos_sym='.', direction=-2
new_pos=(2, 0), new_pos_sym='.', direction=-2
new_pos=(3, 0), new_pos_sym='.', direction=-2
new_pos=(4, 0), new_pos_sym='.', direction=-2
new_pos=(5, 0), new_pos_sym='.', direction=-2
new_pos=(6, 0), new_pos_sym='.', direction=-2
new_pos=(7, 0), new_pos_sym='.', direction=-2
new_pos=(8, 0), new_pos_sym='.', direction=-2
new_pos=(9, 0), new_pos_sym='.', direction=-2
new_pos=(10, 0), new_pos_sym='.', direction=-2
new_pos=(11, 0), new_pos_sym='.', direction=-2
new_pos=(12, 0), new_pos_sym='.', direction=-2
new_pos=(13, 0), new_pos_sym='.', direction=-2
new_pos=(14, 0), new_pos_sym='.', direction=-2
new_pos=(15, 0), new_pos_sym='-', direction=-2
one beam left the map
new_pos=(15, 1), new_pos_sym='-', direction=1
new_pos=(15, 2), new_pos_sym='|', direction=1
new_pos=(14, 2), new_pos_sym='.', direction=2
new_pos=(13, 2), new_pos_sym='.', direction=2
new_pos=(12, 2), new_pos_sym='.', direction=2
new_pos=(11, 2), new_pos_sym='.', direction=2
new_pos=(10, 2), new_pos_sym='.', direction=2
new_pos=(9, 2), new_pos_sym='.', direction=2
new_pos=(8, 2), new_pos_sym='-', direction=2
new_pos=(8, 1), new_pos_sym='-', direction=-1
new_pos=(8, 0), new_pos_sym='.', direction=-1
one beam left the map
new_pos=(8, 3), new_pos_sym='.', direction=1
new_pos=(8, 4), new_pos_sym='.', direction=1
new_pos=(8, 5), new_pos_sym='.', direction=1
new_pos=(8, 6), new_pos_sym='.', direction=1
new_pos=(8, 7), new_pos_sym='.', direction=1
new_pos=(8, 8), new_pos_sym='.', direction=1
new_pos=(8, 9), new_pos_sym='.', direction=1
new_pos=(8, 10), new_pos_sym='.', direction=1
new_pos=(8, 11), new_pos_sym='.', direction=1
new_pos=(8, 12), new_pos_sym='.', direction=1
new_pos=(8, 13), new_pos_sym='.', direction=1
new_pos=(8, 14), new_pos_sym='.', direction=1
new_pos=(8, 15), new_pos_sym='.', direction=1
new_pos=(8, 16), new_pos_sym='.', direction=1
new_pos=(8, 17), new_pos_sym='.', direction=1
new_pos=(8, 18), new_pos_sym='.', direction=1
new_pos=(8, 19), new_pos_sym='.', direction=1
new_pos=(8, 20), new_pos_sym='.', direction=1
new_pos=(8, 21), new_pos_sym='.', direction=1
new_pos=(8, 22), new_pos_sym='.', direction=1
new_pos=(8, 23), new_pos_sym='.', direction=1
new_pos=(8, 24), new_pos_sym='.', direction=1
new_pos=(8, 25), new_pos_sym='.', direction=1
new_pos=(8, 26), new_pos_sym='.', direction=1
new_pos=(8, 27), new_pos_sym='.', direction=1
new_pos=(8, 28), new_pos_sym='.', direction=1
new_pos=(8, 29), new_pos_sym='.', direction=1
new_pos=(8, 30), new_pos_sym='/', direction=1
new_pos=(7, 30), new_pos_sym='.', direction=2
new_pos=(6, 30), new_pos_sym='.', direction=2
new_pos=(5, 30), new_pos_sym='.', direction=2
new_pos=(4, 30), new_pos_sym='.', direction=2
new_pos=(3, 30), new_pos_sym='-', direction=2
new_pos=(3, 29), new_pos_sym='.', direction=-1
new_pos=(3, 28), new_pos_sym='.', direction=-1
new_pos=(3, 27), new_pos_sym='.', direction=-1
new_pos=(3, 26), new_pos_sym='.', direction=-1
new_pos=(3, 25), new_pos_sym='.', direction=-1
new_pos=(3, 24), new_pos_sym='|', direction=-1
new_pos=(2, 24), new_pos_sym='.', direction=2
new_pos=(1, 24), new_pos_sym='.', direction=2
new_pos=(0, 24), new_pos_sym='.', direction=2
one beam left the map
new_pos=(4, 24), new_pos_sym='.', direction=-2
new_pos=(5, 24), new_pos_sym='.', direction=-2
new_pos=(6, 24), new_pos_sym='.', direction=-2
new_pos=(7, 24), new_pos_sym='.', direction=-2
new_pos=(8, 24), new_pos_sym='.', direction=-2
new_pos=(9, 24), new_pos_sym='.', direction=-2
new_pos=(10, 24), new_pos_sym='.', direction=-2
new_pos=(11, 24), new_pos_sym='.', direction=-2
new_pos=(12, 24), new_pos_sym='.', direction=-2
new_pos=(13, 24), new_pos_sym='.', direction=-2
new_pos=(14, 24), new_pos_sym='.', direction=-2
new_pos=(15, 24), new_pos_sym='.', direction=-2
new_pos=(16, 24), new_pos_sym='.', direction=-2
new_pos=(17, 24), new_pos_sym='-', direction=-2
new_pos=(17, 23), new_pos_sym='.', direction=-1
new_pos=(17, 22), new_pos_sym='.', direction=-1
new_pos=(17, 21), new_pos_sym='.', direction=-1
new_pos=(17, 20), new_pos_sym='.', direction=-1
